Novo Valor-> emp: empresa4 | quantidade: 43| valor: 27
Novo Valor-> emp: empresa1 | quantidade: 32| valor: 88
Novo Valor-> emp: empresa5 | quantidade: 2| valor: 78
Novo Valor-> emp: empresa4 | quantidade: 45| valor: 25
Novo Valor-> emp: empresa4 | quantidade: 38| valor: 32
Novo Valor-> emp: empresa4 | quantidade: 29| valor: 41
Novo Valor-> emp: empresa5 | quantidade: 0| valor: 80
Novo Valor-> emp: empresa4 | quantidade: 30| valor: 40
Novo Valor-> emp: empresa2 | quantidade: 8| valor: 102
Novo Valor-> emp: empresa4 | quantidade: 31| valor: 39
Novo Valor-> emp: empresa3 | quantidade: 4| valor: 146
Novo Valor-> emp: empresa1 | quantidade: 24| valor: 96
Novo Valor-> emp: empresa4 | quantidade: 11| valor: 59
Novo Valor-> emp: empresa2 | quantidade: 4| valor: 106
Novo Valor-> emp: empresa4 | quantidade: 8| valor: 62
Novo Valor-> emp: empresa1 | quantidade: 29| valor: 91
Novo Valor-> emp: empresa1 | quantidade: 22| valor: 98
Novo Valor-> emp: empresa3 | quantidade: 3| valor: 147
Novo Valor-> emp: empresa2 | quantidade: 1| valor: 109
Novo Valor-> emp: empresa2 | quantidade: 0| valor: 110
Novo Valor-> emp: empresa1 | quantidade: 27| valor: 93
Novo Valor-> emp: empresa2 | quantidade: 1| valor: 109
Novo Valor-> emp: empresa2 | quantidade: 2| valor: 108
Novo Valor-> emp: empresa3 | quantidade: 2| valor: 148
Novo Valor-> emp: empresa3 | quantidade: 3| valor: 147
Novo Valor-> emp: empresa5 | quantidade: 13| valor: 67
Novo Valor-> emp: empresa1 | quantidade: 11| valor: 109
Novo Valor-> emp: empresa4 | quantidade: 6| valor: 64
Novo Valor-> emp: empresa5 | quantidade: 7| valor: 73
Novo Valor-> emp: empresa1 | quantidade: 3| valor: 117
Novo Valor-> emp: empresa2 | quantidade: 3| valor: 107
Novo Valor-> emp: empresa3 | quantidade: 0| valor: 150
Novo Valor-> emp: empresa1 | quantidade: 8| valor: 112
Novo Valor-> emp: empresa1 | quantidade: 28| valor: 92
Novo Valor-> emp: empresa4 | quantidade: 3| valor: 67
Novo Valor-> emp: empresa3 | quantidade: 3| valor: 147
Novo Valor-> emp: empresa1 | quantidade: 25| valor: 95
Novo Valor-> emp: empresa2 | quantidade: 1| valor: 109
Novo Valor-> emp: empresa2 | quantidade: 4| valor: 106
Novo Valor-> emp: empresa2 | quantidade: 3| valor: 107
Novo Valor-> emp: empresa2 | quantidade: 36| valor: 74
Novo Valor-> emp: empresa2 | quantidade: 39| valor: 71
Novo Valor-> emp: empresa4 | quantidade: 2| valor: 68
Novo Valor-> emp: empresa1 | quantidade: 27| valor: 93
Novo Valor-> emp: empresa1 | quantidade: 28| valor: 92
Novo Valor-> emp: empresa2 | quantidade: 32| valor: 78
Novo Valor-> emp: empresa5 | quantidade: 2| valor: 78
Novo Valor-> emp: empresa3 | quantidade: 0| valor: 150
Novo Valor-> emp: empresa4 | quantidade: 1| valor: 69
Novo Valor-> emp: empresa5 | quantidade: 1| valor: 79
Novo Valor-> emp: empresa1 | quantidade: 17| valor: 103
Novo Valor-> emp: empresa4 | quantidade: 0| valor: 70
Novo Valor-> emp: empresa2 | quantidade: 35| valor: 75
Novo Valor-> emp: empresa2 | quantidade: 38| valor: 72
Novo Valor-> emp: empresa2 | quantidade: 19| valor: 91
Novo Valor-> emp: empresa5 | quantidade: 0| valor: 80
Novo Valor-> emp: empresa2 | quantidade: 3| valor: 107
Novo Valor-> emp: empresa2 | quantidade: 20| valor: 90
Novo Valor-> emp: empresa2 | quantidade: 19| valor: 91
Novo Valor-> emp: empresa2 | quantidade: 11| valor: 99
Novo Valor-> emp: empresa5 | quantidade: 3| valor: 77
Novo Valor-> emp: empresa2 | quantidade: 6| valor: 104
Novo Valor-> emp: empresa2 | quantidade: 2| valor: 108
Novo Valor-> emp: empresa2 | quantidade: 0| valor: 110
Novo Valor-> emp: empresa5 | quantidade: 2| valor: 78
Novo Valor-> emp: empresa2 | quantidade: 3| valor: 107
Novo Valor-> emp: empresa5 | quantidade: 0| valor: 80
Novo Valor-> emp: empresa4 | quantidade: 7| valor: 63
Novo Valor-> emp: empresa3 | quantidade: 1| valor: 149
Novo Valor-> emp: empresa2 | quantidade: 2| valor: 108
Novo Valor-> emp: empresa1 | quantidade: 21| valor: 99
Novo Valor-> emp: empresa4 | quantidade: 3| valor: 67
Novo Valor-> emp: empresa4 | quantidade: 7| valor: 63
Novo Valor-> emp: empresa3 | quantidade: 0| valor: 150
Novo Valor-> emp: empresa1 | quantidade: 25| valor: 95
Novo Valor-> emp: empresa1 | quantidade: 24| valor: 96
Novo Valor-> emp: empresa1 | quantidade: 6| valor: 114
Novo Valor-> emp: empresa2 | quantidade: 4| valor: 106
Novo Valor-> emp: empresa2 | quantidade: 2| valor: 108
Novo Valor-> emp: empresa4 | quantidade: 17| valor: 53
Novo Valor-> emp: empresa1 | quantidade: 21| valor: 99
Novo Valor-> emp: empresa1 | quantidade: 0| valor: 120
Novo Valor-> emp: empresa2 | quantidade: 25| valor: 85
Novo Valor-> emp: empresa4 | quantidade: 28| valor: 42
Novo Valor-> emp: empresa4 | quantidade: 39| valor: 31
Novo Valor-> emp: empresa2 | quantidade: 32| valor: 78
Novo Valor-> emp: empresa4 | quantidade: 4| valor: 66
Novo Valor-> emp: empresa2 | quantidade: 28| valor: 82
Novo Valor-> emp: empresa1 | quantidade: 1| valor: 119
Novo Valor-> emp: empresa2 | quantidade: 18| valor: 92
